waypoint1	waypoint2	distance_m	duration_s
85GFWM59+MG, Evanston, UT 84031	Trl 110, Twin Lakes, CO	570872	26668
Trl 110, Twin Lakes, CO	Long Trail, Stowe, VT 05672	3275218	115221
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Trl 110, Twin Lakes, CO	2492420	86205
Trl 110, Twin Lakes, CO	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	2041547	75294
Trl 110, Twin Lakes, CO	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	2663223	90858
Trl 110, Twin Lakes, CO	W3206 Co Rd R R, Ogema, WI 54459	1933242	64914
Trail Lake Trailhead, Dubois, WY 82513	Trl 110, Twin Lakes, CO	732960	29362
Mt Frissell Trailhead parking, Salisbury, CT 06068	2715 Ebright Rd, Wilmington, DE 19810	389679	15577
Mt Frissell Trailhead parking, Salisbury, CT 06068	4000 Chesapeake St NW, Washington, DC 20016	564296	21710
Mt Frissell Trailhead parking, Salisbury, CT 06068	Britton Hill, Florida 32433	2059918	70281
Mt Frissell Trailhead parking, Salisbury, CT 06068	GA-180 Spur, Blairsville, GA 30512	1488119	53123
Mt Frissell Trailhead parking, Salisbury, CT 06068	Borah Peak Trailhead, Mackay, ID 83251	3939061	133184
Mt Frissell Trailhead parking, Salisbury, CT 06068	Charles Mound, Scales Mound Township, IL 61075	1656412	57875
Mt Frissell Trailhead parking, Salisbury, CT 06068	Hoozier Hill, Franklin Township, IN 47341	1211012	42317
Mt Frissell Trailhead parking, Salisbury, CT 06068	Hawkeye Pt Rd, Sibley, IA 51249	2252521	76229
Mt Frissell Trailhead parking, Salisbury, CT 06068	Mount Sunflower, Weskan, KS 67762	2774277	93803
Mt Frissell Trailhead parking, Salisbury, CT 06068	Black Mountain Ridge Rd, Partridge, KY 40862	1231068	45421
Mt Frissell Trailhead parking, Salisbury, CT 06068	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	2382339	80430
Mt Frissell Trailhead parking, Salisbury, CT 06068	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	768765	28504
Mt Frissell Trailhead parking, Salisbury, CT 06068	2428 Seneca Trail, Eglon, WV 26716	778465	29181
Mt Frissell Trailhead parking, Salisbury, CT 06068	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	85122	5420
Mt Frissell Trailhead parking, Salisbury, CT 06068	Skanee, MI 49962	1748300	60885
Mt Frissell Trailhead parking, Salisbury, CT 06068	Eagle Mountain Trailhead, Grand Marais, MN 55604	2345476	81940
Mt Frissell Trailhead parking, Salisbury, CT 06068	105 Woodall Mountain Rd, Iuka, MS 38852	1819780	63490
Mt Frissell Trailhead parking, Salisbury, CT 06068	High Point Trail Head, Ironton, MO 63650	1852700	64288
Mt Frissell Trailhead parking, Salisbury, CT 06068	W Rosebud Lake Rd, Fishtail, MT 59028	3539894	119486
Mt Frissell Trailhead parking, Salisbury, CT 06068	Panorama Point, Bushnell, NE 82082	2877004	96534
Mt Frissell Trailhead parking, Salisbury, CT 06068	Boundary Peak Trailhead, Nevada 89010	4394440	149411
Mt Frissell Trailhead parking, Salisbury, CT 06068	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	485927	21012
Mt Frissell Trailhead parking, Salisbury, CT 06068	Monument Rd, Wantage, NJ 07461	186231	8378
Mt Frissell Trailhead parking, Salisbury, CT 06068	Taos Ski Valley, NM 87525	3286990	112612
Mt Frissell Trailhead parking, Salisbury, CT 06068	Adirondack Loj Rd, Lake Placid, NY 12946	314189	12387
Mt Frissell Trailhead parking, Salisbury, CT 06068	Mount Mitchell Summit Trail, Burnsville, NC 28714	1316882	47634
Mt Frissell Trailhead parking, Salisbury, CT 06068	White Butte Trl, Bowman, ND 58623	2993978	100687
