waypoint1	waypoint2	distance_m	duration_s
2280 OH-540, Bellefontaine, OH 43311	Mount Mitchell Summit Trail, Burnsville, NC 28714	744461	30624
Black Mesa Trail, Kenton, OK 73946	Mount Mitchell Summit Trail, Burnsville, NC 28714	2210657	76422
Mount Mitchell Summit Trail, Burnsville, NC 28714	Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	4277254	143527
Mount Mitchell Summit Trail, Burnsville, NC 28714	Mount Davis Observation Tower, Fort Hill, PA 15540	762402	29380
Mount Mitchell Summit Trail, Burnsville, NC 28714	250-216 Hartford Pike, Foster, RI 02825	1395745	49322
Mount Mitchell Summit Trail, Burnsville, NC 28714	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	132140	8275
Mount Mitchell Summit Trail, Burnsville, NC 28714	Palmer Creek Trailhead, Hill City, SD 57745	2605468	87626
Mount Mitchell Summit Trail, Burnsville, NC 28714	Clingmans Dome Tennessee High Point, Tennessee 37738	180289	10275
Mount Mitchell Summit Trail, Burnsville, NC 28714	Pine Springs Trailhead, Salt Flat, TX 79847	2421781	83273
Mount Mitchell Summit Trail, Burnsville, NC 28714	85GFWM59+MG, Evanston, UT 84031	3048472	107891
Mount Mitchell Summit Trail, Burnsville, NC 28714	Long Trail, Stowe, VT 05672	1676967	60512
Mount Mitchell Summit Trail, Burnsville, NC 28714	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	187240	10707
Mount Mitchell Summit Trail, Burnsville, NC 28714	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	4373761	151045
Mount Mitchell Summit Trail, Burnsville, NC 28714	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	631787	26314
Mount Mitchell Summit Trail, Burnsville, NC 28714	W3206 Co Rd R R, Ogema, WI 54459	1663353	57856
Mount Mitchell Summit Trail, Burnsville, NC 28714	Trail Lake Trailhead, Dubois, WY 82513	3009550	102522
White Butte Trl, Bowman, ND 58623	2280 OH-540, Bellefontaine, OH 43311	2021305	68806
White Butte Trl, Bowman, ND 58623	Black Mesa Trail, Kenton, OK 73946	1225877	45896
White Butte Trl, Bowman, ND 58623	Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	1867828	64441
White Butte Trl, Bowman, ND 58623	Mount Davis Observation Tower, Fort Hill, PA 15540	2455453	82468
White Butte Trl, Bowman, ND 58623	250-216 Hartford Pike, Foster, RI 02825	3123552	104017
White Butte Trl, Bowman, ND 58623	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	2709779	91267
White Butte Trl, Bowman, ND 58623	Palmer Creek Trailhead, Hill City, SD 57745	348802	13855
White Butte Trl, Bowman, ND 58623	Clingmans Dome Tennessee High Point, Tennessee 37738	2564212	87093
White Butte Trl, Bowman, ND 58623	Pine Springs Trailhead, Salt Flat, TX 79847	1900472	65035
White Butte Trl, Bowman, ND 58623	85GFWM59+MG, Evanston, UT 84031	1285667	48202
White Butte Trl, Bowman, ND 58623	Long Trail, Stowe, VT 05672	3099886	108840
White Butte Trl, Bowman, ND 58623	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	2602649	88813
White Butte Trl, Bowman, ND 58623	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	1845749	67214
White Butte Trl, Bowman, ND 58623	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	2643968	90130
White Butte Trl, Bowman, ND 58623	W3206 Co Rd R R, Ogema, WI 54459	1240233	41836
White Butte Trl, Bowman, ND 58623	Trail Lake Trailhead, Dubois, WY 82513	902788	32726
2280 OH-540, Bellefontaine, OH 43311	Black Mesa Trail, Kenton, OK 73946	1907148	65785
2280 OH-540, Bellefontaine, OH 43311	Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	3780056	127271
2280 OH-540, Bellefontaine, OH 43311	Mount Davis Observation Tower, Fort Hill, PA 15540	479835	17268
2280 OH-540, Bellefontaine, OH 43311	250-216 Hartford Pike, Foster, RI 02825	1230441	41565
2280 OH-540, Bellefontaine, OH 43311	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	829080	30424
2280 OH-540, Bellefontaine, OH 43311	Palmer Creek Trailhead, Hill City, SD 57745	1947020	66289
2280 OH-540, Bellefontaine, OH 43311	Clingmans Dome Tennessee High Point, Tennessee 37738	683513	26250
2280 OH-540, Bellefontaine, OH 43311	Pine Springs Trailhead, Salt Flat, TX 79847	2385349	80582
2280 OH-540, Bellefontaine, OH 43311	85GFWM59+MG, Evanston, UT 84031	2666053	94434
2280 OH-540, Bellefontaine, OH 43311	Long Trail, Stowe, VT 05672	1240137	47148
2280 OH-540, Bellefontaine, OH 43311	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	628365	22766
2280 OH-540, Bellefontaine, OH 43311	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	3808468	132333
2280 OH-540, Bellefontaine, OH 43311	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	576892	21941
2280 OH-540, Bellefontaine, OH 43311	W3206 Co Rd R R, Ogema, WI 54459	979499	35033
2280 OH-540, Bellefontaine, OH 43311	Trail Lake Trailhead, Dubois, WY 82513	2512352	86266
Black Mesa Trail, Kenton, OK 73946	Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	2414341	83197
Black Mesa Trail, Kenton, OK 73946	Mount Davis Observation Tower, Fort Hill, PA 15540	2316765	79821
Black Mesa Trail, Kenton, OK 73946	250-216 Hartford Pike, Foster, RI 02825	3095615	105082
Black Mesa Trail, Kenton, OK 73946	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	2205359	75661
Black Mesa Trail, Kenton, OK 73946	Palmer Creek Trailhead, Hill City, SD 57745	927607	35651
Black Mesa Trail, Kenton, OK 73946	Clingmans Dome Tennessee High Point, Tennessee 37738	2070137	71984
Black Mesa Trail, Kenton, OK 73946	Pine Springs Trailhead, Salt Flat, TX 79847	736719	27346
Black Mesa Trail, Kenton, OK 73946	85GFWM59+MG, Evanston, UT 84031	1112293	45082
Black Mesa Trail, Kenton, OK 73946	Long Trail, Stowe, VT 05672	3105311	110664
Black Mesa Trail, Kenton, OK 73946	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	2225831	74904
Black Mesa Trail, Kenton, OK 73946	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	2510849	90716
Black Mesa Trail, Kenton, OK 73946	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	2389088	82811
Black Mesa Trail, Kenton, OK 73946	W3206 Co Rd R R, Ogema, WI 54459	1870556	63879
Black Mesa Trail, Kenton, OK 73946	Trail Lake Trailhead, Dubois, WY 82513	1146637	42192
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Mount Davis Observation Tower, Fort Hill, PA 15540	4220816	140642
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	250-216 Hartford Pike, Foster, RI 02825	4888915	162192
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	4282637	143180
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Palmer Creek Trailhead, Hill City, SD 57745	1975803	67813
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Clingmans Dome Tennessee High Point, Tennessee 37738	4137070	139007
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Pine Springs Trailhead, Salt Flat, TX 79847	2691211	93491
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	85GFWM59+MG, Evanston, UT 84031	1325746	48113
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Long Trail, Stowe, VT 05672	4865249	167015
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	4205884	142017
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	328098	14409
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	4336772	146289
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	W3206 Co Rd R R, Ogema, WI 54459	3052948	102622
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Trail Lake Trailhead, Dubois, WY 82513	1404253	51447
250-216 Hartford Pike, Foster, RI 02825	Mount Davis Observation Tower, Fort Hill, PA 15540	827464	29269
Mount Davis Observation Tower, Fort Hill, PA 15540	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	812931	30260
Mount Davis Observation Tower, Fort Hill, PA 15540	Palmer Creek Trailhead, Hill City, SD 57745	2385369	80056
Clingmans Dome Tennessee High Point, Tennessee 37738	Mount Davis Observation Tower, Fort Hill, PA 15540	801154	30527
Mount Davis Observation Tower, Fort Hill, PA 15540	Pine Springs Trailhead, Salt Flat, TX 79847	2795825	94435
85GFWM59+MG, Evanston, UT 84031	Mount Davis Observation Tower, Fort Hill, PA 15540	3076529	108287
Mount Davis Observation Tower, Fort Hill, PA 15540	Long Trail, Stowe, VT 05672	1028083	39667
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Mount Davis Observation Tower, Fort Hill, PA 15540	551503	20427
Mount Davis Observation Tower, Fort Hill, PA 15540	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	4246818	146100
Mount Davis Observation Tower, Fort Hill, PA 15540	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	183100	9864
Mount Davis Observation Tower, Fort Hill, PA 15540	W3206 Co Rd R R, Ogema, WI 54459	1417848	48800
Trail Lake Trailhead, Dubois, WY 82513	Mount Davis Observation Tower, Fort Hill, PA 15540	2950701	100033
250-216 Hartford Pike, Foster, RI 02825	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	1455432	51652
250-216 Hartford Pike, Foster, RI 02825	Palmer Creek Trailhead, Hill City, SD 57745	3034488	101810
250-216 Hartford Pike, Foster, RI 02825	Clingmans Dome Tennessee High Point, Tennessee 37738	1443655	51919
250-216 Hartford Pike, Foster, RI 02825	Pine Springs Trailhead, Salt Flat, TX 79847	3551298	119736
250-216 Hartford Pike, Foster, RI 02825	85GFWM59+MG, Evanston, UT 84031	3783207	129720
250-216 Hartford Pike, Foster, RI 02825	Long Trail, Stowe, VT 05672	429920	16570
250-216 Hartford Pike, Foster, RI 02825	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	1194004	41820
250-216 Hartford Pike, Foster, RI 02825	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	4895937	167854
250-216 Hartford Pike, Foster, RI 02825	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	903916	34311
250-216 Hartford Pike, Foster, RI 02825	W3206 Co Rd R R, Ogema, WI 54459	2066967	70554
250-216 Hartford Pike, Foster, RI 02825	Trail Lake Trailhead, Dubois, WY 82513	3599820	121787
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Palmer Creek Trailhead, Hill City, SD 57745	2610615	87483
Clingmans Dome Tennessee High Point, Tennessee 37738	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	164338	9754
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Pine Springs Trailhead, Salt Flat, TX 79847	2332308	78701
85GFWM59+MG, Evanston, UT 84031	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	3053619	107747
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Long Trail, Stowe, VT 05672	1684900	62581
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	309987	12690
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	4378908	150902
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	686119	28138
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	W3206 Co Rd R R, Ogema, WI 54459	1668499	57713
Trail Lake Trailhead, Dubois, WY 82513	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	3014696	102378
Clingmans Dome Tennessee High Point, Tennessee 37738	Palmer Creek Trailhead, Hill City, SD 57745	2458743	83251
Pine Springs Trailhead, Salt Flat, TX 79847	Palmer Creek Trailhead, Hill City, SD 57745	1607564	54659
85GFWM59+MG, Evanston, UT 84031	Palmer Creek Trailhead, Hill City, SD 57745	1041258	40069
Palmer Creek Trailhead, Hill City, SD 57745	Long Trail, Stowe, VT 05672	3023203	105970
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Palmer Creek Trailhead, Hill City, SD 57745	2494343	85311
Palmer Creek Trailhead, Hill City, SD 57745	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	1953741	70607
Palmer Creek Trailhead, Hill City, SD 57745	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	2567286	87260
Palmer Creek Trailhead, Hill City, SD 57745	W3206 Co Rd R R, Ogema, WI 54459	1269337	43427
Trail Lake Trailhead, Dubois, WY 82513	Palmer Creek Trailhead, Hill City, SD 57745	658380	24593
Clingmans Dome Tennessee High Point, Tennessee 37738	Pine Springs Trailhead, Salt Flat, TX 79847	2282750	78894
Clingmans Dome Tennessee High Point, Tennessee 37738	85GFWM59+MG, Evanston, UT 84031	2909442	103511
Clingmans Dome Tennessee High Point, Tennessee 37738	Long Trail, Stowe, VT 05672	1674671	62766
Clingmans Dome Tennessee High Point, Tennessee 37738	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	299758	12875
Clingmans Dome Tennessee High Point, Tennessee 37738	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	4234731	146666
Clingmans Dome Tennessee High Point, Tennessee 37738	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	675890	28323
Clingmans Dome Tennessee High Point, Tennessee 37738	W3206 Co Rd R R, Ogema, WI 54459	1524322	53477
Clingmans Dome Tennessee High Point, Tennessee 37738	Trail Lake Trailhead, Dubois, WY 82513	2870519	98143
85GFWM59+MG, Evanston, UT 84031	Pine Springs Trailhead, Salt Flat, TX 79847	1453316	54937
Pine Springs Trailhead, Salt Flat, TX 79847	Long Trail, Stowe, VT 05672	3583110	124904
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Pine Springs Trailhead, Salt Flat, TX 79847	2436356	81434
Pine Springs Trailhead, Salt Flat, TX 79847	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	2778184	101121
Pine Springs Trailhead, Salt Flat, TX 79847	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	2819981	95986
Pine Springs Trailhead, Salt Flat, TX 79847	W3206 Co Rd R R, Ogema, WI 54459	2495386	82878
Trail Lake Trailhead, Dubois, WY 82513	Pine Springs Trailhead, Salt Flat, TX 79847	1714967	59459
85GFWM59+MG, Evanston, UT 84031	Long Trail, Stowe, VT 05672	3779982	133632
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	85GFWM59+MG, Evanston, UT 84031	2976836	106470
85GFWM59+MG, Evanston, UT 84031	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	1421800	55343
85GFWM59+MG, Evanston, UT 84031	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	3147639	111123
85GFWM59+MG, Evanston, UT 84031	W3206 Co Rd R R, Ogema, WI 54459	2342117	81542
85GFWM59+MG, Evanston, UT 84031	Trail Lake Trailhead, Dubois, WY 82513	620608	26313
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Long Trail, Stowe, VT 05672	1431280	52807
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	Long Trail, Stowe, VT 05672	4895260	172361
Long Trail, Stowe, VT 05672	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	1141191	45298
Long Trail, Stowe, VT 05672	W3206 Co Rd R R, Ogema, WI 54459	1727494	70024
Trail Lake Trailhead, Dubois, WY 82513	Long Trail, Stowe, VT 05672	3599143	126295
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	4388999	149519
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	425252	18205
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	W3206 Co Rd R R, Ogema, WI 54459	1561432	55275
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Trail Lake Trailhead, Dubois, WY 82513	3024787	100996
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	4433889	153557
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	W3206 Co Rd R R, Ogema, WI 54459	3030154	105263
Trail Lake Trailhead, Dubois, WY 82513	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	1500987	58819
W3206 Co Rd R R, Ogema, WI 54459	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	1603680	56681
Trail Lake Trailhead, Dubois, WY 82513	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	3109442	105984
Trail Lake Trailhead, Dubois, WY 82513	W3206 Co Rd R R, Ogema, WI 54459	1961226	67008
Start	Cheaha State Park Observation Tower, Delta, AL 36258	0	0
Start	Humphreys Summit Trail, Flagstaff, AZ 86001	0	0
Start	Mt Magazine Rd, Paris, AR 72855	0	0
Start	Whitney Portal Rd, Lone Pine, CA 93545	0	0
Start	Trl 110, Twin Lakes, CO	0	0
Start	Mt Frissell Trailhead parking, Salisbury, CT 06068	0	0
Start	2715 Ebright Rd, Wilmington, DE 19810	0	0
Start	4000 Chesapeake St NW, Washington, DC 20016	0	0
Start	Britton Hill, Florida 32433	0	0
Start	GA-180 Spur, Blairsville, GA 30512	0	0
Start	Borah Peak Trailhead, Mackay, ID 83251	0	0
Start	Charles Mound, Scales Mound Township, IL 61075	0	0
Start	Hoozier Hill, Franklin Township, IN 47341	0	0
Start	Hawkeye Pt Rd, Sibley, IA 51249	0	0
Start	Mount Sunflower, Weskan, KS 67762	0	0
Start	Black Mountain Ridge Rd, Partridge, KY 40862	0	0
Start	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	0	0
Start	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	0	0
Start	2428 Seneca Trail, Eglon, WV 26716	0	0
Start	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	0	0
Start	Skanee, MI 49962	0	0
Start	Eagle Mountain Trailhead, Grand Marais, MN 55604	0	0
Start	105 Woodall Mountain Rd, Iuka, MS 38852	0	0
Start	High Point Trail Head, Ironton, MO 63650	0	0
Start	W Rosebud Lake Rd, Fishtail, MT 59028	0	0
Start	Panorama Point, Bushnell, NE 82082	0	0
Start	Boundary Peak Trailhead, Nevada 89010	0	0
Start	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	0	0
Start	Monument Rd, Wantage, NJ 07461	0	0
Start	Taos Ski Valley, NM 87525	0	0
Start	Adirondack Loj Rd, Lake Placid, NY 12946	0	0
Start	Mount Mitchell Summit Trail, Burnsville, NC 28714	0	0
Start	White Butte Trl, Bowman, ND 58623	0	0
Start	2280 OH-540, Bellefontaine, OH 43311	0	0
Start	Black Mesa Trail, Kenton, OK 73946	0	0
Start	Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	0	0
Start	Mount Davis Observation Tower, Fort Hill, PA 15540	0	0
Start	250-216 Hartford Pike, Foster, RI 02825	0	0
Start	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	0	0
Start	Palmer Creek Trailhead, Hill City, SD 57745	0	0
Start	Clingmans Dome Tennessee High Point, Tennessee 37738	0	0
Start	Pine Springs Trailhead, Salt Flat, TX 79847	0	0
Start	85GFWM59+MG, Evanston, UT 84031	0	0
Start	Long Trail, Stowe, VT 05672	0	0
Start	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	0	0
Start	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	0	0
Start	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	0	0
Start	W3206 Co Rd R R, Ogema, WI 54459	0	0
Start	Trail Lake Trailhead, Dubois, WY 82513	0	0
